,target_name,rmse_test,rmse_train,rmse_awcc_test,rmse_awcc_train,n_estimators,max_depth,max_features,time
0,u_x_real [m/s],1.9446789178254702,0.8188292623108472,10.291232161017398,11.719951019173337,3,,1.0,0.6425127983093262
1,u_x_real [m/s],1.6600331075732808,0.3341076933517307,10.291232161017398,11.719951019173337,10,,1.0,1.6037962436676025
2,u_x_real [m/s],1.6000106440732709,0.08255009660015772,10.291232161017398,11.719951019173337,30,,1.0,4.392323732376099
3,u_x_real [m/s],1.531252072666121,0.011498231325714404,10.291232161017398,11.719951019173337,100,,1.0,14.117236614227295
4,u_x_real [m/s],1.5675199217147564,0.0,10.291232161017398,11.719951019173337,300,,1.0,43.75653028488159
5,u_x_real [m/s],1.5397389127469214,0.0,10.291232161017398,11.719951019173337,1000,,1.0,139.90268993377686
6,u_x_real [m/s],1.5423830579960383,0.0,10.291232161017398,11.719951019173337,3000,,1.0,419.40866684913635
7,u_x_real [m/s],2.568038386608256,2.719279287772817,10.291232161017398,11.719951019173337,100,3,1.0,2.570636034011841
8,u_x_real [m/s],1.5752079094900457,0.7266467762552223,10.291232161017398,11.719951019173337,100,10,1.0,6.995263338088989
9,u_x_real [m/s],1.5301347230512734,0.011498231325714404,10.291232161017398,11.719951019173337,100,30,1.0,14.07162070274353
10,u_x_real [m/s],1.531252072666121,0.011498231325714404,10.291232161017398,11.719951019173337,100,50,1.0,14.14868712425232
11,u_x_real [m/s],1.531252072666121,0.011498231325714404,10.291232161017398,11.719951019173337,100,70,1.0,14.052772283554077
12,u_x_real [m/s],1.531252072666121,0.011498231325714404,10.291232161017398,11.719951019173337,100,90,1.0,14.023151159286499
13,u_x_real [m/s],2.0189884800492517,5.9255669038487305e-05,10.291232161017398,11.719951019173337,100,,0.1,7.127140522003174
14,u_x_real [m/s],1.5221099771272346,0.0005394858356014907,10.291232161017398,11.719951019173337,100,,0.3,8.383743524551392
15,u_x_real [m/s],1.4495855304922522,0.0,10.291232161017398,11.719951019173337,100,,0.5,9.45684552192688
16,u_x_real [m/s],1.4639246692415093,0.001158009259271589,10.291232161017398,11.719951019173337,100,,0.7,10.58027982711792
17,u_x_real [m/s],1.531252072666121,0.011498231325714404,10.291232161017398,11.719951019173337,100,,1.0,14.047867059707642
18,T_ux_real [-],0.04275931516678806,0.020621360531501653,0.08218426699432775,0.084846702497895,3,,1.0,0.6340641975402832
19,T_ux_real [-],0.03778328446413051,0.00783334648319495,0.08218426699432775,0.084846702497895,10,,1.0,1.6108391284942627
20,T_ux_real [-],0.036330848621254214,0.0029306381323204976,0.08218426699432775,0.084846702497895,30,,1.0,4.42657995223999
21,T_ux_real [-],0.03564279212772801,2.2386006523968393e-05,0.08218426699432775,0.084846702497895,100,,1.0,14.310886144638062
22,T_ux_real [-],0.035567229321468205,0.0,0.08218426699432775,0.084846702497895,300,,1.0,43.40118384361267
23,T_ux_real [-],0.03547238020779227,0.0,0.08218426699432775,0.084846702497895,1000,,1.0,142.44892406463623
24,T_ux_real [-],0.03546422995155143,0.0,0.08218426699432775,0.084846702497895,3000,,1.0,428.00915241241455
25,T_ux_real [-],0.05023709999230953,0.052551270962754484,0.08218426699432775,0.084846702497895,100,3,1.0,2.556694746017456
26,T_ux_real [-],0.03626013764126906,0.026606512068340457,0.08218426699432775,0.084846702497895,100,10,1.0,7.099581480026245
27,T_ux_real [-],0.03565524626538861,8.17071403656699e-06,0.08218426699432775,0.084846702497895,100,30,1.0,14.353193521499634
28,T_ux_real [-],0.03564279212772801,2.2386006523968393e-05,0.08218426699432775,0.084846702497895,100,50,1.0,14.341581344604492
29,T_ux_real [-],0.03564279212772801,2.2386006523968393e-05,0.08218426699432775,0.084846702497895,100,70,1.0,14.359657049179077
30,T_ux_real [-],0.03564279212772801,2.2386006523968393e-05,0.08218426699432775,0.084846702497895,100,90,1.0,14.31368350982666
31,T_ux_real [-],0.03854517597069688,0.0,0.08218426699432775,0.084846702497895,100,,0.1,7.1695287227630615
32,T_ux_real [-],0.03572275126502557,2.0453456981686876e-06,0.08218426699432775,0.084846702497895,100,,0.3,8.441409587860107
33,T_ux_real [-],0.03538696742771068,4.4904983399210306e-05,0.08218426699432775,0.084846702497895,100,,0.5,9.59986162185669
34,T_ux_real [-],0.03522891572584038,7.985180714767722e-05,0.08218426699432775,0.084846702497895,100,,0.7,10.75362229347229
35,T_ux_real [-],0.03564279212772801,2.2386006523968393e-05,0.08218426699432775,0.084846702497895,100,,1.0,14.304483413696289
