id,u_x_real,T_ux_real,c_real,d_bx_real,delta_x,delta_y,N_p,u_x_awcc,u_rms_x_awcc,T_ux_awcc,n_awcc
4232,5.705834032580984,0.3378744176448724,0.2616757523429145,0.0017423249313471,0.0035859349491671,0.000743445995812,18,6.512832125997581,1.5286320557119977,0.2347108026337857,2526.0
4233,1.2911125218588175,0.0106175367262509,0.1201282449005715,0.0037738287877724,0.0070049844523668,0.0010578091389588,19,1.2929984043320946,0.0180797123894196,0.0139827801247433,630.0
4234,7.752026920913379,0.0859299012056583,0.2811705395438153,0.00419388884702,0.0059169979076956,0.0018695225009788,7,7.661860146372985,0.777494406224323,0.1014759329158961,706.0
4235,32.37457767952381,0.2202146758160635,0.2670852572456791,0.0021905634456691,0.0066132977006588,0.0012120311684253,7,33.511532684407776,6.254186513222695,0.1866278863494846,10088.0
4236,20.74652957240095,0.0204085151650068,0.076438916549121,0.0032833143679031,0.0042343893130065,0.0001981538746892,18,20.744314548924905,0.4116498103570367,0.019843982281804,12075.0
4237,38.28940817214116,0.3396852974330311,0.0074312561160361,0.0121272091234983,0.0067126757852334,0.0016560366119906,11,40.80565435939143,7.812692691088387,0.1914610319020725,875.0
4238,47.55293191739957,0.2474993714096003,0.0399656171370857,0.0147661619464922,0.0025456293475329,0.0008944786172664,9,49.06164826916446,7.999430987724973,0.1630485576806979,6486.0
4239,17.671619461293762,0.2321975529778133,0.3776347803303629,0.0189100037180387,0.0009079949849108,0.000806032001949,16,18.74970360174148,4.64425974393982,0.2476977685934437,9344.0
4240,14.701486313077607,0.2106025171231966,0.0492680649712288,0.0115679233894516,0.0038568123732283,0.0011664385350467,8,14.968317632907732,2.276081382602297,0.1520599334155195,3499.0
4241,41.20334186830058,0.0706424763941942,0.1798213182817515,0.0175265328187145,0.0096768018991976,0.000510241933075,14,41.28142788285528,2.762555967023516,0.066920068144514,13565.0
4242,43.27383431699549,0.2329039215368464,0.3467425393929834,0.0167252865219007,0.0076596368156921,0.0009321160366376,12,45.910632216569205,7.809646069366442,0.1701053915469265,31775.0
4243,12.18933191491932,0.3316211506012976,0.294266006587177,0.0052920722318014,0.0045367363815289,0.0019921237543442,19,12.950254536948885,2.9368649046886897,0.2267804772724277,1161.0
4244,5.98915145685227,0.1964107619349432,0.065432541511469,0.0097075108737168,0.0013964453442512,0.0012041989711066,10,6.154625515885996,1.3192279613674356,0.2143473974106651,1818.0
4245,42.12647163975469,0.1614995688842171,0.1966257622231492,0.0073838578156929,0.0064510516849318,0.0015396648792835,8,43.12309876377185,6.90174119686206,0.1600474315324547,38004.0
4246,41.24662859367087,0.1866038940844497,0.2744511575137928,0.0120093252717366,0.0064788306147616,0.0006860235325675,18,42.62217810260714,6.874367905415998,0.161286170989828,23130.0
4247,27.36240629365096,0.1073776580792393,0.2471649061282654,0.007378561465355,0.0056142938677463,0.0005483197869056,16,27.70811733603684,2.7547375869564537,0.0994198758994598,25488.0
4248,40.16672645245716,0.3176142037792915,0.227463445659638,0.0142680257381299,0.0095528986428914,0.0018258644745948,12,44.91288568011189,10.83530118826182,0.2412515033087677,18419.0
4249,1.9278411281118224,0.2285363258176233,0.3845041475865607,0.0140747805797422,0.002272491962549,0.0003162095763208,15,2.0558264164022826,0.1488612831791413,0.0724094612227281,1515.0
